,[Vertices],lat,long
144,Jaures,48.88314745,2.371001441
145,Javel,48.84612367,2.27771174
146,Jourdain,48.87511182,2.389415032
147,JulesJoffrin,48.89243959,2.344657004
148,Jussieu,48.84595067,2.355050263
149,Jussieu,48.84595067,2.355050263
150,Kleber,48.87164977,2.29352429
151,LaChapelle,48.8843988,2.360491319
152,LaCourneuve8Mai1945,48.92078597,2.410598614
153,LaFourche,48.88718395,2.325779675
154,LaMottePicquetGrenelle,48.84935055,2.298301402
155,LaMottePicquetGrenelle,48.84935055,2.298301402
156,LaMottePicquetGrenelle,48.84935055,2.298301402
157,LaMuette,48.85804606,2.274154631
158,LaTourMaubourg,48.85772541,2.310565961
159,LamarckCaulaincourt,48.88967407,2.338760649
160,Laumiere,48.88521618,2.379663077
161,LeKremlinBicêtre,48.81012996,2.362263387
162,LePeletier,48.87487434,2.340199884
163,LedruRollin,48.85127113,2.376118773
164,LesGobelins,48.83586348,2.352588926
165,LesHalles,48.86231628,2.345673828
166,LesSablons,48.88119152,2.271686721
167,Liberte,48.826055,2.406742226
168,Liege,48.87963476,2.327022201
169,LouisBlanc,48.88128581,2.365544319
170,LouisBlanc,48.88128581,2.365544319
171,LouiseMichel,48.88870602,2.288083633
172,Lourmel,48.83896094,2.282700027
173,LouvreRivoli,48.86080629,2.341108592
174,Mabillon,48.85301677,2.335502053
175,Madeleine,48.86963317,2.326272274
176,Madeleine,48.86963317,2.326272274
177,Madeleine,48.86963317,2.326272274
178,MairiedIssy,48.82410503,2.273041525
179,MairiedIvry,48.8110992,2.38355148
180,MairiedeClichy,48.90333009,2.30592415
181,MairiedeMontreuil,48.86193691,2.441310941
182,MairiedeSaintOuen,48.9119649,2.33392489
183,MairiedesLilas,48.87976125,2.416479644
184,MaisonBlanche,48.82243783,2.358473884
185,MaisonsAlfortlesJuilliottes,48.80263769,2.446927484
186,MaisonsAlfortStade,48.80914436,2.434509896
187,MalakoffPlateaudeVanves,48.82258371,2.298464192
188,MalakoffRueetienneDolet,48.81530753,2.297077798
189,Malesherbes,48.88289192,2.309052265
190,Maraîchers,48.85272512,2.406089162
191,MarcadetPoissonniers,48.89141683,2.349738407
192,MarcadetPoissonniers,48.89141683,2.349738407
193,MarcelSembat,48.83370885,2.243840592
194,MarxDormoy,48.89048545,2.359995766
195,MaubertMutualite,48.85012732,2.34805429
196,MichelAngeAuteuil,48.84789565,2.264082031
197,MichelAngeAuteuil,48.84789565,2.264082031
198,MichelAngeMolitor,48.84524757,2.261623492
199,MichelAngeMolitor,48.84524757,2.261623492
200,MichelBizot,48.83711701,2.402333166
201,Mirabeau,48.84713101,2.272763753
202,Miromesnil,48.87376999,2.314456036
203,Miromesnil,48.87376999,2.314456036
204,Monceau,48.88044946,2.309451168
205,Montgallet,48.84440867,2.390075113
206,MontparnasseBienvenue,48.84373549,2.324353041
207,MontparnasseBienvenue,48.84373549,2.324353041
208,MontparnasseBienvenue,48.84373549,2.324353041
209,MontparnasseBienvenue,48.84373549,2.324353041
210,MoutonDuvernet,48.83111266,2.329705013
211,Menilmontant,48.86680004,2.38338325
212,Nation,48.84737488,2.395461995
213,Nation,48.84737488,2.395461995
214,Nation,48.84737488,2.395461995
215,Nation,48.84737488,2.395461995
216,Nationale,48.83321672,2.3628564
217,NotreDamedeLorette,48.87602621,2.337886489
218,NotreDamedesChamps,48.84494263,2.328778027
219,Oberkampf,48.86465788,2.368410026
220,Oberkampf,48.86465788,2.368410026
221,Odeon,48.85230076,2.339727782
222,Odeon,48.85230076,2.339727782
223,Opera,48.87064173,2.3321386
224,Opera,48.87064173,2.3321386
225,Opera,48.87064173,2.3321386
226,Ourcq,48.88713487,2.386960017
227,PalaisRoyalMuseeduLouvre,48.86234803,2.336496462
228,PalaisRoyalMuseeduLouvre,48.86234803,2.336496462
229,Parmentier,48.86525379,2.37458197
230,Passy,48.85744869,2.285812444
231,Pasteur,48.84287128,2.312447513
232,Pasteur,48.84287128,2.312447513
233,Pelleport,48.86844016,2.401561713
234,Pernety,48.83393639,2.318078285
235,PhilippeAuguste,48.85846655,2.389729852
236,Picpus,48.84506158,2.40128902
237,PierreCurie,48.81593076,2.3772672
238,Pigalle,48.88251939,2.337081683
239,Pigalle,48.88251939,2.337081683
240,PlaceBalard,48.83593088,2.278161671
241,PlaceMonge,48.84286683,2.352224728
242,PlacedItalie,48.83097267,2.355580274
243,PlacedItalie,48.83097267,2.355580274
244,PlacedItalie,48.83097267,2.355580274
245,PlacedeClichy,48.88380453,2.327243412
246,PlacedeClichy,48.88380453,2.327243412
247,PlacedesFêtes,48.87694985,2.392983965
248,PlacedesFêtes,48.87694985,2.392983965
249,Plaisance,48.83182565,2.314122323
250,Poissonniere,48.87723632,2.349293902
251,PontdeLevalloisBecon,48.89782107,2.279809587
252,PontdeNeuilly,48.8847082,2.260515078
253,PontdeSevres,48.82967484,2.230799591
254,PontMarie,48.85357547,2.357162572
255,PontNeuf,48.85855383,2.342232759
256,PorteDauphine,48.87146658,2.277083017
257,PorteDoree,48.83478516,2.405383211
258,PorteMaillot,48.87755125,2.283162242
259,PortedAuteuil,48.84797154,2.25774468
260,PortedItalie,48.81922335,2.359705217
261,PortedIvry,48.82135578,2.369290587
262,PortedOrleans,48.82341163,2.325575636
263,PortedeBagnolet,48.86460037,2.408031037
264,PortedeChamperret,48.88579311,2.292582314
265,PortedeCharenton,48.83316293,2.401448054
266,PortedeChoisy,48.81987622,2.364531952
267,PortedeClichy,48.89425226,2.313772159
268,PortedeClignancourt,48.89740222,2.344847749
269,PortedeMontreuil,48.85354392,2.410626426
270,PortedePantin,48.88850369,2.392113698
